"","subject_id","subject_language.x","survey_time","chrome","firefox","IE","safari","opera","other","don't know","headphones","speakers","earbuds","very bad","bad","normal","good","very good","distractions_yes","distractions_no","wireless","wired","very_slowly","slowly","tolerably_so","pretty_fast","no_loading_time","satisfaction","subject_language.y","18-29yrs","30-39yrs","40-49yrs","50-59yrs","60-69yrs","more_than_69yrs","handedness_L","handedness_R","french_native","french_non_native","lang_other_target_no","lang_other_target_yes","other_lang_na","other_lang_na2","other_lang_native","other_lang_bcpdexp","other_lang_assezdexp","other_lang_unpeudexp","other_lang_trespeudexp","other_lang_comp_na","other_lang_comp_na2","other_lang_comp_native","other_lang_presque_native","other_lang_avancee","other_lang_intermediare","other_lang_debutant","hear_vis_problems_yes","hear_vis_problems_no","troubles_de_lang_yes","troubles_de_lang_no","ling_course_yes","ling_course_no","phonet_course_yes","phonet_course_no","phonog_course_yes","phonog_course_no","subject_language","trial_type","tripletid","S-order","A_Order","RT","order","first_sound","second_sound","paid_attention","corr_ans","context","file_OTH","file_TGT","file_X","speaker_OTH","speaker_TGT","speaker_X","vowel_OTH","vowel_TGT","vowel_X","vowel_eng","vowel_fr","word_OTH","word_TGT","word_X","user_resp","user_corr"
"7919","X_BRZUCQWISN","fr","0:36.6",1,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,0,1,1,0,0,0,0,1,0,100,"fr",1,0,0,0,0,0,0,1,NA,NA,0,1,0,NA,0,0,0,1,0,0,NA,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,"fr2","prot_catch_trial","triplet72","orderSI=86","orderAI=61","0:4.3","61;",1,0,NA,"A","S_F","veronique_eng_24","maureen_fr_26","remi_fr_25","veronique","maureen","remi","UH","U","U","UH","U","SUHF","SUF","SUF","A",1
"7920","X_BRZUCQWISN","fr","0:36.6",1,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,0,1,1,0,0,0,0,1,0,100,"fr",1,0,0,0,0,0,0,1,NA,NA,0,1,0,NA,0,0,0,1,0,0,NA,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,"fr2","prot_catch_trial","triplet68","orderSI=72","orderAI=62","0:3.8","62;",1,0,NA,"A","Z_S","maureen_eng_49","veronique_fr_20","marc_fr_15","maureen","veronique","marc","AE","U","U","AE","U","ZAES","ZUS","ZUS","A",1
"7921","X_BRZUCQWISN","fr","0:36.6",1,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,0,1,1,0,0,0,0,1,0,100,"fr",1,0,0,0,0,0,0,1,NA,NA,0,1,0,NA,0,0,0,1,0,0,NA,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,"fr2","prot_catch_trial","triplet59","orderSI=93","orderAI=63","0:3.6","63;",0,1,NA,"B","V_B","maureen_fr_198","veronique_eng_43","jeremy_eng_46","maureen","veronique","jeremy","OE","AE","AE","AE","OE","VOEB","VAEB","VAEB","B",1
"7922","X_BRZUCQWISN","fr","0:36.6",1,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,0,1,1,0,0,0,0,1,0,100,"fr",1,0,0,0,0,0,0,1,NA,NA,0,1,0,NA,0,0,0,1,0,0,NA,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,"fr2","prot_catch_trial","triplet51","orderSI=57","orderAI=64","0:3.8","64;",0,1,NA,"B","Z_F","veronique_fr_21","maureen_eng_50","ewan_eng_51","veronique","maureen","ewan","U","AE","AE","AE","U","ZUF","ZAEF","ZAEF","B",1
"7923","X_BRZUCQWISN","fr","0:36.6",1,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,0,1,1,0,0,0,0,1,0,100,"fr",1,0,0,0,0,0,0,1,NA,NA,0,1,0,NA,0,0,0,1,0,0,NA,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,"fr2","prot_catch_trial","triplet80","orderSI=83","orderAI=65","0:3.3","65;",1,0,NA,"A","Z_D","maureen_eng_5","veronique_fr_40","marc_fr_35","maureen","veronique","marc","UH","E","E","UH","E","ZUHD","ZED","ZED","A",1
"7924","X_BRZUCQWISN","fr","0:36.6",1,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,0,1,1,0,0,0,0,1,0,100,"fr",1,0,0,0,0,0,0,1,NA,NA,0,1,0,NA,0,0,0,1,0,0,NA,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,"fr2","prot_catch_trial","triplet43","orderSI=80","orderAI=66","0:3.7","66;",1,0,NA,"B","V_G","maureen_fr_81","veronique_eng_215","jeremy_eng_226","maureen","veronique","jeremy","I","IH","IH","IH","I","VIG","VIHG","VIHG","A",0
"7925","X_BRZUCQWISN","fr","0:36.6",1,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,0,1,1,0,0,0,0,1,0,100,"fr",1,0,0,0,0,0,0,1,NA,NA,0,1,0,NA,0,0,0,1,0,0,NA,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,"fr2","prot_catch_trial","triplet94","orderSI=84","orderAI=67","0:3.3","67;",0,1,NA,"B","Z_D","maureen_eng_216","veronique_fr_69","marc_fr_66","maureen","veronique","marc","IH","I","I","IH","I","ZIHD","ZID","ZID","B",1
"7926","X_BRZUCQWISN","fr","0:36.6",1,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,0,1,1,0,0,0,0,1,0,100,"fr",1,0,0,0,0,0,0,1,NA,NA,0,1,0,NA,0,0,0,1,0,0,NA,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,"fr2","prot_catch_trial","triplet55","orderSI=68","orderAI=68","0:3.7","68;",0,1,NA,"B","V_K","maureen_fr_15","veronique_eng_72","jeremy_eng_74","maureen","veronique","jeremy","U","AH","AH","AH","U","VUK","VAHK","VAHK","B",1
"7927","X_BRZUCQWISN","fr","0:36.6",1,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,0,1,1,0,0,0,0,1,0,100,"fr",1,0,0,0,0,0,0,1,NA,NA,0,1,0,NA,0,0,0,1,0,0,NA,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,"fr2","prot_catch_trial","triplet56","orderSI=77","orderAI=69","0:3.5","69;",1,0,NA,"A","F_P","veronique_eng_8","maureen_fr_205","marc_fr_199","veronique","maureen","marc","UH","O","O","UH","O","FUHP","FOP","FOP","A",1
"7928","X_BRZUCQWISN","fr","0:36.6",1,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,0,1,1,0,0,0,0,1,0,100,"fr",1,0,0,0,0,0,0,1,NA,NA,0,1,0,NA,0,0,0,1,0,0,NA,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,"fr2","prot_catch_trial","triplet81","orderSI=76","orderAI=70","0:3.9","70;",1,0,NA,"A","V_B","maureen_fr_52","veronique_eng_216","ewan_eng_233","maureen","veronique","ewan","E","IH","IH","IH","E","VEB","VIHB","VIHB","A",1
"7929","X_BRZUCQWISN","fr","0:36.6",1,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,0,1,1,0,0,0,0,1,0,100,"fr",1,0,0,0,0,0,0,1,NA,NA,0,1,0,NA,0,0,0,1,0,0,NA,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,"fr2","prot_catch_trial","triplet102","orderSI=67","orderAI=71","0:3.7","71;",0,1,NA,"B","V_B","maureen_eng_227","veronique_fr_204","marc_fr_204","maureen","veronique","marc","IH","O","O","IH","O","VIHB","VOB","VOB","B",1
"7930","X_BRZUCQWISN","fr","0:36.6",1,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,0,1,1,0,0,0,0,1,0,100,"fr",1,0,0,0,0,0,0,1,NA,NA,0,1,0,NA,0,0,0,1,0,0,NA,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,"fr2","prot_catch_trial","triplet103","orderSI=69","orderAI=72","0:3.9","72;",0,1,NA,"B","Z_G","maureen_fr_219","veronique_eng_203","ewan_eng_220","maureen","veronique","ewan","A","IH","IH","IH","A","ZAG","ZIHG","ZIHG","B",1
"7931","X_BRZUCQWISN","fr","0:36.6",1,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,0,1,1,0,0,0,0,1,0,100,"fr",1,0,0,0,0,0,0,1,NA,NA,0,1,0,NA,0,0,0,1,0,0,NA,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,"fr2","prot_catch_trial","triplet101","orderSI=78","orderAI=73","0:3.7","73;",1,0,NA,"A","Z_V","veronique_fr_164","maureen_eng_100","ewan_eng_101","veronique","maureen","ewan","A","AH","AH","AH","A","ZAV","ZAHV","ZAHV","A",1
"7932","X_BRZUCQWISN","fr","0:36.6",1,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,0,1,1,0,0,0,0,1,0,100,"fr",1,0,0,0,0,0,0,1,NA,NA,0,1,0,NA,0,0,0,1,0,0,NA,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,"fr2","prot_catch_trial","triplet92","orderSI=61","orderAI=74","0:3.7","74;",1,0,NA,"A","Z_B","veronique_eng_64","maureen_fr_39","marc_fr_34","veronique","maureen","marc","AH","E","E","AH","E","ZAHB","ZEB","ZEB","A",1
