CORR_ANS,context,file_OTH,file_TGT,file_X,speaker_OTH,speaker_TGT,speaker_X,tripletid,vowel_OTH,vowel_TGT,vowel_X,word_OTH,word_TGT,word_X,distance_OTH,distance_TGT
A,Z_B,veronique_eng_64,maureen_fr_39,marc_fr_34,veronique,maureen,marc,triplet92,AH,E,E,ZAHB,ZEB,ZEB,0.31005054836672247,0.37074321685359013
A,V_SH,veronique_fr_128,maureen_eng_236,jeremy_eng_238,veronique,maureen,jeremy,triplet93,Y,IH,IH,VYSH,VIHSH,VIHSH,0.34581397360797683,0.28516671332316074
B,Z_D,maureen_eng_216,veronique_fr_69,marc_fr_66,maureen,veronique,marc,triplet94,IH,I,I,ZIHD,ZID,ZID,0.40682477703911146,0.35361982560128546
B,Z_SH,veronique_fr_150,maureen_eng_231,ewan_eng_237,veronique,maureen,ewan,triplet95,O,IH,IH,ZOSH,ZIHSH,ZIHSH,0.32511994617489864,0.199455876887237
A,V_SH,veronique_eng_101,maureen_fr_114,remi_fr_109,veronique,maureen,remi,triplet96,AH,I,I,VAHSH,VISH,VISH,0.31162100927157377,0.2501414060665084
A,V_P,maureen_fr_217,veronique_eng_40,jeremy_eng_43,maureen,veronique,jeremy,triplet97,O,AE,AE,VOP,VAEP,VAEP,0.41115853758522575,0.280402355332787
B,Z_S,veronique_eng_20,maureen_fr_116,marc_fr_107,veronique,maureen,marc,triplet98,UH,Y,Y,ZUHS,ZYS,ZYS,0.39562667215804753,0.37589221417188245
B,Z_B,maureen_fr_73,veronique_eng_35,ewan_eng_38,maureen,veronique,ewan,triplet99,I,AE,AE,ZIB,ZAEB,ZAEB,0.3829019009484395,0.23211127327394962
A,Z_G,maureen_eng_3,veronique_fr_207,marc_fr_207,maureen,veronique,marc,triplet100,UH,A,A,ZUHG,ZAG,ZAG,0.288619926291791,0.2649080696193488
A,Z_V,veronique_fr_164,maureen_eng_100,ewan_eng_101,veronique,maureen,ewan,triplet101,A,AH,AH,ZAV,ZAHV,ZAHV,0.3232934219164611,0.2630361018568933
B,V_B,maureen_eng_227,veronique_fr_204,marc_fr_204,maureen,veronique,marc,triplet102,IH,O,O,VIHB,VOB,VOB,0.446172662204075,0.37385979372934847
B,Z_G,maureen_fr_219,veronique_eng_203,ewan_eng_220,maureen,veronique,ewan,triplet103,A,IH,IH,ZAG,ZIHG,ZIHG,0.48096651904991017,0.1658542055840854
A,Z_V,veronique_eng_221,maureen_fr_23,marc_fr_18,veronique,maureen,marc,triplet104,IH,U,U,ZIHV,ZUV,ZUV,0.4265418562742948,0.3955156320516083
A,Z_D,maureen_fr_203,veronique_eng_205,jeremy_eng_216,maureen,veronique,jeremy,triplet105,O,IH,IH,ZOD,ZIHD,ZIHD,0.4115536713971321,0.2057279710570598
B,Z_SH,maureen_eng_22,veronique_fr_133,remi_fr_132,maureen,veronique,remi,triplet106,UH,OE,OE,ZUHSH,ZOESH,ZOESH,0.24178510273893708,0.23303187525404412
B,V_SH,maureen_fr_166,veronique_eng_33,ewan_eng_36,maureen,veronique,ewan,triplet107,O,UH,UH,VOSH,VUHSH,VUHSH,0.28643180710015576,0.28101643570065854
A,V_G,maureen_eng_45,veronique_fr_95,remi_fr_94,maureen,veronique,remi,triplet108,AE,Y,Y,VAEG,VYG,VYG,0.3803817228547899,0.29726419943887056
A,Z_SH,maureen_fr_170,veronique_eng_48,ewan_eng_52,maureen,veronique,ewan,triplet109,A,AE,AE,ZASH,ZAESH,ZAESH,0.29145013615802107,0.23448226686341775
B,SH_S,maureen_eng_31,veronique_fr_107,remi_fr_106,maureen,veronique,remi,triplet110,UH,I,I,SHUHS,SHIS,SHIS,0.28874937403156437,0.23915934873532504
B,Z_S,maureen_fr_55,veronique_eng_218,ewan_eng_235,maureen,veronique,ewan,triplet111,E,IH,IH,ZES,ZIHS,ZIHS,0.3139006332098574,0.2148581392670016
A,V_F,maureen_eng_121,veronique_fr_159,remi_fr_158,maureen,veronique,remi,triplet112,AH,O,O,VAHF,VOF,VOF,0.3403852366597447,0.31761434179401676
